Zonas  Turísticas;Periodo;Total
Andalucía: Costa De Almería;2011M10;7,44
Andalucía: Costa De Almería;2011M09;4,06
Andalucía: Costa De Almería;2011M08;3,37
Andalucía: Costa De Almería;2011M07;3,57
Andalucía: Costa De Almería;2011M06;3,69
Andalucía: Costa De Almería;2011M05;5,37
Andalucía: Costa De Almería;2011M04;4,65
Andalucía: Costa De Almería;2011M03;12,07
Andalucía: Costa De Almería;2011M02;15,47
Andalucía: Costa De Almería;2011M01;16,47
Andalucía: Costa De Almería;2010M12;18,49
Andalucía: Costa De Almería;2010M11;13,99
Andalucía: Costa De Almería;2010M10;6,76
Andalucía: Costa De Almería;2010M09;4,59
Andalucía: Costa De Almería;2010M08;4,09
Andalucía: Costa De Almería;2010M07;3,82
Andalucía: Costa De Almería;2010M06;3,73
Andalucía: Costa De Almería;2010M05;4,73
Andalucía: Costa De Almería;2010M04;5,61
Andalucía: Costa De Almería;2010M03;10,3
Andalucía: Costa De Almería;2010M02;16,71
Andalucía: Costa De Almería;2010M01;15,65
Andalucía: Costa De Almería;2009M12;16,33
Andalucía: Costa De Almería;2009M11;11,4
Andalucía: Costa De Almería;2009M10;5,5
Andalucía: Costa De Almería;2009M09;4,63
Andalucía: Costa De Almería;2009M08;3,79
Andalucía: Costa De Almería;2009M07;3,72
Andalucía: Costa De Almería;2009M06;3,28
Andalucía: Costa De Almería;2009M05;4,41
Andalucía: Costa De Almería;2009M04;4,86
Andalucía: Costa De Almería;2009M03;12,13
Andalucía: Costa De Almería;2009M02;16,51
Andalucía: Costa De Almería;2009M01;17,8
Andalucía: Costa De Almería;2008M12;15,36
Andalucía: Costa De Almería;2008M11;12,59
Andalucía: Costa De Almería;2008M10;6,27
Andalucía: Costa De Almería;2008M09;3,32
Andalucía: Costa De Almería;2008M08;3,95
Andalucía: Costa De Almería;2008M07;3,57
Andalucía: Costa De Almería;2008M06;3,67
Andalucía: Costa De Almería;2008M05;4,28
Andalucía: Costa De Almería;2008M04;5,59
Andalucía: Costa De Almería;2008M03;6,94
Andalucía: Costa De Almería;2008M02;13,6
Andalucía: Costa De Almería;2008M01;11,68
Andalucía: Costa De Almería;2007M12;12,9
Andalucía: Costa De Almería;2007M11;9,95
Andalucía: Costa De Almería;2007M10;5,07
Andalucía: Costa De Almería;2007M09;3,67
