Zonas  Turísticas;Periodo;Total
Cataluña: Costa Brava;2005M02;2,53
Cataluña: Costa Brava;2005M01;1,96
Cataluña: Costa Daurada;2021M11;2,42
Cataluña: Costa Daurada;2021M10;3,96
Cataluña: Costa Daurada;2021M09;5,53
Cataluña: Costa Daurada;2021M08;6,7
Cataluña: Costa Daurada;2021M07;5,43
Cataluña: Costa Daurada;2021M06;3,9
Cataluña: Costa Daurada;2021M05;2,98
Cataluña: Costa Daurada;2021M04;3,42
Cataluña: Costa Daurada;2021M03;2,79
Cataluña: Costa Daurada;2021M02;1,69
Cataluña: Costa Daurada;2021M01;1,94
Cataluña: Costa Daurada;2020M12;3,35
Cataluña: Costa Daurada;2020M11;3,24
Cataluña: Costa Daurada;2020M10;3,41
Cataluña: Costa Daurada;2020M09;4,42
Cataluña: Costa Daurada;2020M08;5,83
Cataluña: Costa Daurada;2020M07;5,1
Cataluña: Costa Daurada;2020M06;.
Cataluña: Costa Daurada;2020M05;.
Cataluña: Costa Daurada;2020M04;0
Cataluña: Costa Daurada;2020M03;3,07
Cataluña: Costa Daurada;2020M02;1,79
Cataluña: Costa Daurada;2020M01;1,74
Cataluña: Costa Daurada;2019M12;1,95
Cataluña: Costa Daurada;2019M11;2,32
Cataluña: Costa Daurada;2019M10;4,62
Cataluña: Costa Daurada;2019M09;6,31
Cataluña: Costa Daurada;2019M08;7,32
Cataluña: Costa Daurada;2019M07;6,63
Cataluña: Costa Daurada;2019M06;4,86
Cataluña: Costa Daurada;2019M05;4,85
Cataluña: Costa Daurada;2019M04;4,46
Cataluña: Costa Daurada;2019M03;2,58
Cataluña: Costa Daurada;2019M02;2,2
Cataluña: Costa Daurada;2019M01;2,08
Cataluña: Costa Daurada;2018M12;2,05
Cataluña: Costa Daurada;2018M11;2,24
Cataluña: Costa Daurada;2018M10;4,37
Cataluña: Costa Daurada;2018M09;5,83
Cataluña: Costa Daurada;2018M08;7,83
Cataluña: Costa Daurada;2018M07;6,73
Cataluña: Costa Daurada;2018M06;4,97
Cataluña: Costa Daurada;2018M05;5,61
Cataluña: Costa Daurada;2018M04;4,82
Cataluña: Costa Daurada;2018M03;3,09
Cataluña: Costa Daurada;2018M02;1,74
Cataluña: Costa Daurada;2018M01;1,76
Cataluña: Costa Daurada;2017M12;1,92
Cataluña: Costa Daurada;2017M11;1,86
Cataluña: Costa Daurada;2017M10;4,72
Cataluña: Costa Daurada;2017M09;5,66
Cataluña: Costa Daurada;2017M08;8,08
Cataluña: Costa Daurada;2017M07;6,67
Cataluña: Costa Daurada;2017M06;4,95
Cataluña: Costa Daurada;2017M05;5,49
Cataluña: Costa Daurada;2017M04;4,35
Cataluña: Costa Daurada;2017M03;2,55
Cataluña: Costa Daurada;2017M02;1,7
Cataluña: Costa Daurada;2017M01;1,92
Cataluña: Costa Daurada;2016M12;1,6
Cataluña: Costa Daurada;2016M11;1,91
Cataluña: Costa Daurada;2016M10;5,67
Cataluña: Costa Daurada;2016M09;6,15
Cataluña: Costa Daurada;2016M08;8,16
Cataluña: Costa Daurada;2016M07;6,71
Cataluña: Costa Daurada;2016M06;5,38
Cataluña: Costa Daurada;2016M05;5,4
Cataluña: Costa Daurada;2016M04;4,22
Cataluña: Costa Daurada;2016M03;4,13
Cataluña: Costa Daurada;2016M02;1,92
Cataluña: Costa Daurada;2016M01;1,64
Cataluña: Costa Daurada;2015M12;2,01
Cataluña: Costa Daurada;2015M11;3,9
Cataluña: Costa Daurada;2015M10;6,21
Cataluña: Costa Daurada;2015M09;8,59
Cataluña: Costa Daurada;2015M08;8,36
Cataluña: Costa Daurada;2015M07;7,93
Cataluña: Costa Daurada;2015M06;6,15
Cataluña: Costa Daurada;2015M05;6
Cataluña: Costa Daurada;2015M04;5,25
Cataluña: Costa Daurada;2015M03;2,84
Cataluña: Costa Daurada;2015M02;2,47
Cataluña: Costa Daurada;2015M01;2,03
Cataluña: Costa Daurada;2014M12;2,14
Cataluña: Costa Daurada;2014M11;3,11
Cataluña: Costa Daurada;2014M10;7,6
Cataluña: Costa Daurada;2014M09;8,37
Cataluña: Costa Daurada;2014M08;8,21
Cataluña: Costa Daurada;2014M07;8,36
Cataluña: Costa Daurada;2014M06;6,63
Cataluña: Costa Daurada;2014M05;5,73
Cataluña: Costa Daurada;2014M04;4,96
Cataluña: Costa Daurada;2014M03;3,12
Cataluña: Costa Daurada;2014M02;3,27
Cataluña: Costa Daurada;2014M01;2,04
Cataluña: Costa Daurada;2013M12;2,35
Cataluña: Costa Daurada;2013M11;3,06
Cataluña: Costa Daurada;2013M10;6,29
Cataluña: Costa Daurada;2013M09;7,66
Cataluña: Costa Daurada;2013M08;7,9
Cataluña: Costa Daurada;2013M07;8,01
Cataluña: Costa Daurada;2013M06;5,53
Cataluña: Costa Daurada;2013M05;5,42
Cataluña: Costa Daurada;2013M04;4,4
Cataluña: Costa Daurada;2013M03;3,01
Cataluña: Costa Daurada;2013M02;1,95
Cataluña: Costa Daurada;2013M01;2,32
Cataluña: Costa Daurada;2012M12;2,32
Cataluña: Costa Daurada;2012M11;2,49
Cataluña: Costa Daurada;2012M10;5,02
Cataluña: Costa Daurada;2012M09;6,28
Cataluña: Costa Daurada;2012M08;7,69
Cataluña: Costa Daurada;2012M07;7,32
Cataluña: Costa Daurada;2012M06;4,89
Cataluña: Costa Daurada;2012M05;4,7
Cataluña: Costa Daurada;2012M04;3,8
Cataluña: Costa Daurada;2012M03;2,57
Cataluña: Costa Daurada;2012M02;2,1
Cataluña: Costa Daurada;2012M01;2,36
Cataluña: Costa Daurada;2011M12;1,99
Cataluña: Costa Daurada;2011M11;2,21
Cataluña: Costa Daurada;2011M10;4,59
Cataluña: Costa Daurada;2011M09;6,37
Cataluña: Costa Daurada;2011M08;7,69
Cataluña: Costa Daurada;2011M07;6,82
Cataluña: Costa Daurada;2011M06;5,36
Cataluña: Costa Daurada;2011M05;5,12
Cataluña: Costa Daurada;2011M04;3,61
Cataluña: Costa Daurada;2011M03;2,1
Cataluña: Costa Daurada;2011M02;1,87
Cataluña: Costa Daurada;2011M01;2,85
Cataluña: Costa Daurada;2010M12;2,25
Cataluña: Costa Daurada;2010M11;2,22
Cataluña: Costa Daurada;2010M10;4,82
Cataluña: Costa Daurada;2010M09;6,25
Cataluña: Costa Daurada;2010M08;7,17
Cataluña: Costa Daurada;2010M07;6,42
Cataluña: Costa Daurada;2010M06;5,26
Cataluña: Costa Daurada;2010M05;4,27
Cataluña: Costa Daurada;2010M04;3,27
Cataluña: Costa Daurada;2010M03;2,57
Cataluña: Costa Daurada;2010M02;2,05
Cataluña: Costa Daurada;2010M01;2,25
Cataluña: Costa Daurada;2009M12;2,5
Cataluña: Costa Daurada;2009M11;2,32
Cataluña: Costa Daurada;2009M10;4,8
Cataluña: Costa Daurada;2009M09;6,85
Cataluña: Costa Daurada;2009M08;7,26
Cataluña: Costa Daurada;2009M07;6,8
Cataluña: Costa Daurada;2009M06;5,55
Cataluña: Costa Daurada;2009M05;4,92
Cataluña: Costa Daurada;2009M04;3,65
Cataluña: Costa Daurada;2009M03;2,92
Cataluña: Costa Daurada;2009M02;2,05
Cataluña: Costa Daurada;2009M01;2,36
Cataluña: Costa Daurada;2008M12;2,49
Cataluña: Costa Daurada;2008M11;2,37
Cataluña: Costa Daurada;2008M10;4,69
Cataluña: Costa Daurada;2008M09;6,31
Cataluña: Costa Daurada;2008M08;7,04
Cataluña: Costa Daurada;2008M07;6,57
Cataluña: Costa Daurada;2008M06;4,24
Cataluña: Costa Daurada;2008M05;5,22
Cataluña: Costa Daurada;2008M04;3,81
Cataluña: Costa Daurada;2008M03;4,31
Cataluña: Costa Daurada;2008M02;2,04
Cataluña: Costa Daurada;2008M01;2,09
Cataluña: Costa Daurada;2007M12;2,11
Cataluña: Costa Daurada;2007M11;2,32
Cataluña: Costa Daurada;2007M10;4,88
Cataluña: Costa Daurada;2007M09;6,48
Cataluña: Costa Daurada;2007M08;7,55
Cataluña: Costa Daurada;2007M07;6,69
Cataluña: Costa Daurada;2007M06;4,25
Cataluña: Costa Daurada;2007M05;5,31
Cataluña: Costa Daurada;2007M04;4,18
Cataluña: Costa Daurada;2007M03;2,05
Cataluña: Costa Daurada;2007M02;1,71
Cataluña: Costa Daurada;2007M01;2,54
Cataluña: Costa Daurada;2006M12;2,3
Cataluña: Costa Daurada;2006M11;1,76
Cataluña: Costa Daurada;2006M10;5,2
Cataluña: Costa Daurada;2006M09;6,62
Cataluña: Costa Daurada;2006M08;7,43
Cataluña: Costa Daurada;2006M07;6,05
Cataluña: Costa Daurada;2006M06;5,34
Cataluña: Costa Daurada;2006M05;5,59
Cataluña: Costa Daurada;2006M04;4,95
Cataluña: Costa Daurada;2006M03;2,19
Cataluña: Costa Daurada;2006M02;2,33
Cataluña: Costa Daurada;2006M01;2,76
Cataluña: Costa Daurada;2005M12;2,76
Cataluña: Costa Daurada;2005M11;2,67
Cataluña: Costa Daurada;2005M10;3,05
Cataluña: Costa Daurada;2005M09;5,65
Cataluña: Costa Daurada;2005M08;6,73
Cataluña: Costa Daurada;2005M07;5,87
Cataluña: Costa Daurada;2005M06;5,17
Cataluña: Costa Daurada;2005M05;5,04
Cataluña: Costa Daurada;2005M04;3,4
Cataluña: Costa Daurada;2005M03;3,29
Cataluña: Costa Daurada;2005M02;2,68
Cataluña: Costa Daurada;2005M01;2,86
Cataluña: Costa Del Garraf;2021M11;""
Cataluña: Costa Del Garraf;2021M10;""
Cataluña: Costa Del Garraf;2021M09;""
Cataluña: Costa Del Garraf;2021M08;""
Cataluña: Costa Del Garraf;2021M07;""
Cataluña: Costa Del Garraf;2021M06;""
Cataluña: Costa Del Garraf;2021M05;""
Cataluña: Costa Del Garraf;2021M04;""
Cataluña: Costa Del Garraf;2021M03;""
Cataluña: Costa Del Garraf;2021M02;""
Cataluña: Costa Del Garraf;2021M01;""
Cataluña: Costa Del Garraf;2020M12;""
Cataluña: Costa Del Garraf;2020M11;""
Cataluña: Costa Del Garraf;2020M10;""
Cataluña: Costa Del Garraf;2020M09;""
Cataluña: Costa Del Garraf;2020M08;""
Cataluña: Costa Del Garraf;2020M07;""
Cataluña: Costa Del Garraf;2020M06;""
Cataluña: Costa Del Garraf;2020M05;""
Cataluña: Costa Del Garraf;2020M04;""
Cataluña: Costa Del Garraf;2020M03;""
Cataluña: Costa Del Garraf;2020M02;""
Cataluña: Costa Del Garraf;2020M01;""
Cataluña: Costa Del Garraf;2019M12;""
Cataluña: Costa Del Garraf;2019M11;""
Cataluña: Costa Del Garraf;2019M10;""
Cataluña: Costa Del Garraf;2019M09;""
Cataluña: Costa Del Garraf;2019M08;""
Cataluña: Costa Del Garraf;2019M07;""
Cataluña: Costa Del Garraf;2019M06;""
Cataluña: Costa Del Garraf;2019M05;""
Cataluña: Costa Del Garraf;2019M04;""
Cataluña: Costa Del Garraf;2019M03;""
Cataluña: Costa Del Garraf;2019M02;""
Cataluña: Costa Del Garraf;2019M01;""
Cataluña: Costa Del Garraf;2018M12;""
Cataluña: Costa Del Garraf;2018M11;""
Cataluña: Costa Del Garraf;2018M10;""
Cataluña: Costa Del Garraf;2018M09;""
Cataluña: Costa Del Garraf;2018M08;""
Cataluña: Costa Del Garraf;2018M07;""
Cataluña: Costa Del Garraf;2018M06;""
Cataluña: Costa Del Garraf;2018M05;""
Cataluña: Costa Del Garraf;2018M04;""
Cataluña: Costa Del Garraf;2018M03;""
Cataluña: Costa Del Garraf;2018M02;""
Cataluña: Costa Del Garraf;2018M01;""
Cataluña: Costa Del Garraf;2017M12;""
Cataluña: Costa Del Garraf;2017M11;""
Cataluña: Costa Del Garraf;2017M10;""
Cataluña: Costa Del Garraf;2017M09;""
Cataluña: Costa Del Garraf;2017M08;""
Cataluña: Costa Del Garraf;2017M07;""
Cataluña: Costa Del Garraf;2017M06;""
Cataluña: Costa Del Garraf;2017M05;""
Cataluña: Costa Del Garraf;2017M04;""
Cataluña: Costa Del Garraf;2017M03;""
Cataluña: Costa Del Garraf;2017M02;""
Cataluña: Costa Del Garraf;2017M01;""
Cataluña: Costa Del Garraf;2016M12;""
Cataluña: Costa Del Garraf;2016M11;""
Cataluña: Costa Del Garraf;2016M10;""
Cataluña: Costa Del Garraf;2016M09;""
Cataluña: Costa Del Garraf;2016M08;""
Cataluña: Costa Del Garraf;2016M07;""
Cataluña: Costa Del Garraf;2016M06;""
Cataluña: Costa Del Garraf;2016M05;""
Cataluña: Costa Del Garraf;2016M04;""
Cataluña: Costa Del Garraf;2016M03;""
Cataluña: Costa Del Garraf;2016M02;""
Cataluña: Costa Del Garraf;2016M01;""
Cataluña: Costa Del Garraf;2015M12;""
Cataluña: Costa Del Garraf;2015M11;""
Cataluña: Costa Del Garraf;2015M10;""
Cataluña: Costa Del Garraf;2015M09;""
Cataluña: Costa Del Garraf;2015M08;""
Cataluña: Costa Del Garraf;2015M07;""
Cataluña: Costa Del Garraf;2015M06;""
Cataluña: Costa Del Garraf;2015M05;""
Cataluña: Costa Del Garraf;2015M04;""
Cataluña: Costa Del Garraf;2015M03;""
Cataluña: Costa Del Garraf;2015M02;""
Cataluña: Costa Del Garraf;2015M01;""
Cataluña: Costa Del Garraf;2014M12;""
Cataluña: Costa Del Garraf;2014M11;""
Cataluña: Costa Del Garraf;2014M10;""
Cataluña: Costa Del Garraf;2014M09;""
Cataluña: Costa Del Garraf;2014M08;""
Cataluña: Costa Del Garraf;2014M07;""
Cataluña: Costa Del Garraf;2014M06;""
Cataluña: Costa Del Garraf;2014M05;""
Cataluña: Costa Del Garraf;2014M04;""
Cataluña: Costa Del Garraf;2014M03;""
Cataluña: Costa Del Garraf;2014M02;""
Cataluña: Costa Del Garraf;2014M01;""
Cataluña: Costa Del Garraf;2013M12;""
Cataluña: Costa Del Garraf;2013M11;""
Cataluña: Costa Del Garraf;2013M10;""
Cataluña: Costa Del Garraf;2013M09;""
Cataluña: Costa Del Garraf;2013M08;""
Cataluña: Costa Del Garraf;2013M07;""
Cataluña: Costa Del Garraf;2013M06;""
Cataluña: Costa Del Garraf;2013M05;""
Cataluña: Costa Del Garraf;2013M04;""
Cataluña: Costa Del Garraf;2013M03;""
Cataluña: Costa Del Garraf;2013M02;""
Cataluña: Costa Del Garraf;2013M01;""
Cataluña: Costa Del Garraf;2012M12;""
Cataluña: Costa Del Garraf;2012M11;""
Cataluña: Costa Del Garraf;2012M10;""
Cataluña: Costa Del Garraf;2012M09;""
Cataluña: Costa Del Garraf;2012M08;""
Cataluña: Costa Del Garraf;2012M07;""
Cataluña: Costa Del Garraf;2012M06;""
Cataluña: Costa Del Garraf;2012M05;""
Cataluña: Costa Del Garraf;2012M04;""
Cataluña: Costa Del Garraf;2012M03;""
Cataluña: Costa Del Garraf;2012M02;""
Cataluña: Costa Del Garraf;2012M01;""
Cataluña: Costa Del Garraf;2011M12;9,92
Cataluña: Costa Del Garraf;2011M11;7,59
Cataluña: Costa Del Garraf;2011M10;7,08
Cataluña: Costa Del Garraf;2011M09;4,83
Cataluña: Costa Del Garraf;2011M08;4,2
Cataluña: Costa Del Garraf;2011M07;5,97
Cataluña: Costa Del Garraf;2011M06;4,3
Cataluña: Costa Del Garraf;2011M05;4,85
Cataluña: Costa Del Garraf;2011M04;4,23
Cataluña: Costa Del Garraf;2011M03;3,76
Cataluña: Costa Del Garraf;2011M02;5
Cataluña: Costa Del Garraf;2011M01;""
Cataluña: Costa Del Garraf;2010M12;""
Cataluña: Costa Del Garraf;2010M11;8,74
Cataluña: Costa Del Garraf;2010M10;4,79
Cataluña: Costa Del Garraf;2010M09;3,28
Cataluña: Costa Del Garraf;2010M08;3,12
Cataluña: Costa Del Garraf;2010M07;4,85
Cataluña: Costa Del Garraf;2010M06;4,68
Cataluña: Costa Del Garraf;2010M05;5,75
Cataluña: Costa Del Garraf;2010M04;5,69
Cataluña: Costa Del Garraf;2010M03;6,89
Cataluña: Costa Del Garraf;2010M02;""
Cataluña: Costa Del Garraf;2010M01;""
Cataluña: Costa Del Garraf;2009M12;..
Cataluña: Costa Del Garraf;2009M11;5,61
Cataluña: Costa Del Garraf;2009M10;3,89
Cataluña: Costa Del Garraf;2009M09;3,12
Cataluña: Costa Del Garraf;2009M08;3,01
Cataluña: Costa Del Garraf;2009M07;2,98
Cataluña: Costa Del Garraf;2009M06;3,16
Cataluña: Costa Del Garraf;2009M05;4
Cataluña: Costa Del Garraf;2009M04;2,53
Cataluña: Costa Del Garraf;2009M03;5,28
Cataluña: Costa Del Garraf;2009M02;..
Cataluña: Costa Del Garraf;2009M01;..
Cataluña: Costa Del Garraf;2008M12;..
Cataluña: Costa Del Garraf;2008M11;..
Cataluña: Costa Del Garraf;2008M10;3,56
Cataluña: Costa Del Garraf;2008M09;2,89
Cataluña: Costa Del Garraf;2008M08;3,15
Cataluña: Costa Del Garraf;2008M07;3,24
Cataluña: Costa Del Garraf;2008M06;3,97
Cataluña: Costa Del Garraf;2008M05;2,52
Cataluña: Costa Del Garraf;2008M04;2,94
Cataluña: Costa Del Garraf;2008M03;3,7
Cataluña: Costa Del Garraf;2008M02;1,93
Cataluña: Costa Del Garraf;2008M01;..
Cataluña: Costa Del Garraf;2007M12;..
Cataluña: Costa Del Garraf;2007M11;2,2
Cataluña: Costa Del Garraf;2007M10;3,18
Cataluña: Costa Del Garraf;2007M09;2,85
Cataluña: Costa Del Garraf;2007M08;4,1
Cataluña: Costa Del Garraf;2007M07;3,76
Cataluña: Costa Del Garraf;2007M06;3,42
Cataluña: Costa Del Garraf;2007M05;3,82
Cataluña: Costa Del Garraf;2007M04;3,8
Cataluña: Costa Del Garraf;2007M03;3,29
Cataluña: Costa Del Garraf;2007M02;..
Cataluña: Costa Del Garraf;2007M01;..
Cataluña: Costa Del Garraf;2006M12;..
Cataluña: Costa Del Garraf;2006M11;..
Cataluña: Costa Del Garraf;2006M10;3,15
Cataluña: Costa Del Garraf;2006M09;3,21
Cataluña: Costa Del Garraf;2006M08;3,59
Cataluña: Costa Del Garraf;2006M07;3,53
Cataluña: Costa Del Garraf;2006M06;2,94
Cataluña: Costa Del Garraf;2006M05;3,07
Cataluña: Costa Del Garraf;2006M04;2,62
Cataluña: Costa Del Garraf;2006M03;2
Cataluña: Costa Del Garraf;2006M02;2,71
Cataluña: Costa Del Garraf;2006M01;..
Cataluña: Costa Del Garraf;2005M12;..
Cataluña: Costa Del Garraf;2005M11;3,01
Cataluña: Costa Del Garraf;2005M10;2,54
Cataluña: Costa Del Garraf;2005M09;3,37
Cataluña: Costa Del Garraf;2005M08;6,11
Cataluña: Costa Del Garraf;2005M07;5,43
Cataluña: Costa Del Garraf;2005M06;3,19
Cataluña: Costa Del Garraf;2005M05;2,69
Cataluña: Costa Del Garraf;2005M04;2,24
Cataluña: Costa Del Garraf;2005M03;2,62
Cataluña: Costa Del Garraf;2005M02;1,8
Cataluña: Costa Del Garraf;2005M01;..
Cataluña: Terres de l'Ebre;2021M11;3,42
Cataluña: Terres de l'Ebre;2021M10;3,03
Cataluña: Terres de l'Ebre;2021M09;4,65
Cataluña: Terres de l'Ebre;2021M08;5,7
Cataluña: Terres de l'Ebre;2021M07;4,68
Cataluña: Terres de l'Ebre;2021M06;3,87
Cataluña: Terres de l'Ebre;2021M05;4,04
Cataluña: Terres de l'Ebre;2021M04;5,62
Cataluña: Terres de l'Ebre;2021M03;2,77
Cataluña: Terres de l'Ebre;2021M02;.
Cataluña: Terres de l'Ebre;2021M01;.
Cataluña: Terres de l'Ebre;2020M12;2,48
Cataluña: Terres de l'Ebre;2020M11;2,06
Cataluña: Terres de l'Ebre;2020M10;3,01
Cataluña: Terres de l'Ebre;2020M09;4,29
Cataluña: Terres de l'Ebre;2020M08;4,87
Cataluña: Terres de l'Ebre;2020M07;4,23
Cataluña: Terres de l'Ebre;2020M06;.
Cataluña: Terres de l'Ebre;2020M05;.
Cataluña: Terres de l'Ebre;2020M04;0
Cataluña: Terres de l'Ebre;2020M03;7,75
Cataluña: Terres de l'Ebre;2020M02;2,25
Cataluña: Terres de l'Ebre;2020M01;2,34
Cataluña: Terres de l'Ebre;2019M12;2,29
Cataluña: Terres de l'Ebre;2019M11;2,98
Cataluña: Terres de l'Ebre;2019M10;2,99
Cataluña: Terres de l'Ebre;2019M09;5,05
Cataluña: Terres de l'Ebre;2019M08;5,82
Cataluña: Terres de l'Ebre;2019M07;5,7
Cataluña: Terres de l'Ebre;2019M06;4,15
Cataluña: Terres de l'Ebre;2019M05;4,98
Cataluña: Terres de l'Ebre;2019M04;4,3
Cataluña: Terres de l'Ebre;2019M03;4,25
Cataluña: Terres de l'Ebre;2019M02;2,5
Cataluña: Terres de l'Ebre;2019M01;3,01
Cataluña: Terres de l'Ebre;2018M12;2,99
Cataluña: Terres de l'Ebre;2018M11;3,7
Cataluña: Terres de l'Ebre;2018M10;4,88
Cataluña: Terres de l'Ebre;2018M09;6,43
Cataluña: Terres de l'Ebre;2018M08;6
Cataluña: Terres de l'Ebre;2018M07;5,8
Cataluña: Terres de l'Ebre;2018M06;4,53
Cataluña: Terres de l'Ebre;2018M05;5,64
Cataluña: Terres de l'Ebre;2018M04;5,5
Cataluña: Terres de l'Ebre;2018M03;3,68
Cataluña: Terres de l'Ebre;2018M02;2,44
Cataluña: Terres de l'Ebre;2018M01;2,81
Cataluña: Terres de l'Ebre;2017M12;2,74
Cataluña: Terres de l'Ebre;2017M11;3,12
Cataluña: Terres de l'Ebre;2017M10;4,44
Cataluña: Terres de l'Ebre;2017M09;5,65
Cataluña: Terres de l'Ebre;2017M08;6,59
Cataluña: Terres de l'Ebre;2017M07;5,84
Cataluña: Terres de l'Ebre;2017M06;4,48
Cataluña: Terres de l'Ebre;2017M05;6,12
Cataluña: Terres de l'Ebre;2017M04;4,14
Cataluña: Terres de l'Ebre;2017M03;4,43
Cataluña: Terres de l'Ebre;2017M02;2,08
Cataluña: Terres de l'Ebre;2017M01;2,29
Cataluña: Terres de l'Ebre;2016M12;2,66
Cataluña: Terres de l'Ebre;2016M11;3,2
Cataluña: Terres de l'Ebre;2016M10;4,76
Cataluña: Terres de l'Ebre;2016M09;5,77
Cataluña: Terres de l'Ebre;2016M08;6,52
Cataluña: Terres de l'Ebre;2016M07;5,94
Cataluña: Terres de l'Ebre;2016M06;5,04
Cataluña: Terres de l'Ebre;2016M05;5,33
Cataluña: Terres de l'Ebre;2016M04;6,85
Cataluña: Terres de l'Ebre;2016M03;4,13
Cataluña: Terres de l'Ebre;2016M02;2,06
Cataluña: Terres de l'Ebre;2016M01;2,54
Cataluña: Terres de l'Ebre;2015M12;2,58
Cataluña: Terres de l'Ebre;2015M11;3,38
Cataluña: Terres de l'Ebre;2015M10;4,35
Cataluña: Terres de l'Ebre;2015M09;6,55
Cataluña: Terres de l'Ebre;2015M08;6,27
Cataluña: Terres de l'Ebre;2015M07;6,58
Cataluña: Terres de l'Ebre;2015M06;5,38
Cataluña: Terres de l'Ebre;2015M05;5,43
Cataluña: Terres de l'Ebre;2015M04;5,05
Cataluña: Terres de l'Ebre;2015M03;4,87
Cataluña: Terres de l'Ebre;2015M02;2,14
Cataluña: Terres de l'Ebre;2015M01;3,91
Cataluña: Terres de l'Ebre;2014M12;2,95
Cataluña: Terres de l'Ebre;2014M11;3,6
Cataluña: Terres de l'Ebre;2014M10;5,27
Cataluña: Terres de l'Ebre;2014M09;6,5
Cataluña: Terres de l'Ebre;2014M08;6,18
Cataluña: Terres de l'Ebre;2014M07;6,58
Cataluña: Terres de l'Ebre;2014M06;4,86
Cataluña: Terres de l'Ebre;2014M05;5,95
Cataluña: Terres de l'Ebre;2014M04;4,47
Cataluña: Terres de l'Ebre;2014M03;5,45
Cataluña: Terres de l'Ebre;2014M02;3,57
Cataluña: Terres de l'Ebre;2014M01;3,31
Cataluña: Terres de l'Ebre;2013M12;2,83
Cataluña: Terres de l'Ebre;2013M11;3,69
Cataluña: Terres de l'Ebre;2013M10;5,66
Cataluña: Terres de l'Ebre;2013M09;5,63
Cataluña: Terres de l'Ebre;2013M08;6,84
Cataluña: Terres de l'Ebre;2013M07;6,34
Cataluña: Terres de l'Ebre;2013M06;5,02
Cataluña: Terres de l'Ebre;2013M05;6,38
Cataluña: Terres de l'Ebre;2013M04;8,1
Cataluña: Terres de l'Ebre;2013M03;4,25
Cataluña: Terres de l'Ebre;2013M02;2,69
Cataluña: Terres de l'Ebre;2013M01;3,04
Cataluña: Terres de l'Ebre;2012M12;""
Cataluña: Terres de l'Ebre;2012M11;""
Cataluña: Terres de l'Ebre;2012M10;""
Cataluña: Terres de l'Ebre;2012M09;""
Cataluña: Terres de l'Ebre;2012M08;""
Cataluña: Terres de l'Ebre;2012M07;""
Cataluña: Terres de l'Ebre;2012M06;""
Cataluña: Terres de l'Ebre;2012M05;""
Cataluña: Terres de l'Ebre;2012M04;""
Cataluña: Terres de l'Ebre;2012M03;""
Cataluña: Terres de l'Ebre;2012M02;""
Cataluña: Terres de l'Ebre;2012M01;""
Cataluña: Terres de l'Ebre;2011M12;""
Cataluña: Terres de l'Ebre;2011M11;""
Cataluña: Terres de l'Ebre;2011M10;""
Cataluña: Terres de l'Ebre;2011M09;""
Cataluña: Terres de l'Ebre;2011M08;""
Cataluña: Terres de l'Ebre;2011M07;""
Cataluña: Terres de l'Ebre;2011M06;""
Cataluña: Terres de l'Ebre;2011M05;""
Cataluña: Terres de l'Ebre;2011M04;""
Cataluña: Terres de l'Ebre;2011M03;""
Cataluña: Terres de l'Ebre;2011M02;""
Cataluña: Terres de l'Ebre;2011M01;""
Cataluña: Terres de l'Ebre;2010M12;""
Cataluña: Terres de l'Ebre;2010M11;""
Cataluña: Terres de l'Ebre;2010M10;""
Cataluña: Terres de l'Ebre;2010M09;""
Cataluña: Terres de l'Ebre;2010M08;""
Cataluña: Terres de l'Ebre;2010M07;""
Cataluña: Terres de l'Ebre;2010M06;""
Cataluña: Terres de l'Ebre;2010M05;""
Cataluña: Terres de l'Ebre;2010M04;""
Cataluña: Terres de l'Ebre;2010M03;""
Cataluña: Terres de l'Ebre;2010M02;""
Cataluña: Terres de l'Ebre;2010M01;""
Cataluña: Terres de l'Ebre;2009M12;""
Cataluña: Terres de l'Ebre;2009M11;""
Cataluña: Terres de l'Ebre;2009M10;""
Cataluña: Terres de l'Ebre;2009M09;""
Cataluña: Terres de l'Ebre;2009M08;""
Cataluña: Terres de l'Ebre;2009M07;""
Cataluña: Terres de l'Ebre;2009M06;""
Cataluña: Terres de l'Ebre;2009M05;""
Cataluña: Terres de l'Ebre;2009M04;""
Cataluña: Terres de l'Ebre;2009M03;""
Cataluña: Terres de l'Ebre;2009M02;""
Cataluña: Terres de l'Ebre;2009M01;""
Cataluña: Terres de l'Ebre;2008M12;""
Cataluña: Terres de l'Ebre;2008M11;""
Cataluña: Terres de l'Ebre;2008M10;""
Cataluña: Terres de l'Ebre;2008M09;""
Cataluña: Terres de l'Ebre;2008M08;""
Cataluña: Terres de l'Ebre;2008M07;""
Cataluña: Terres de l'Ebre;2008M06;""
Cataluña: Terres de l'Ebre;2008M05;""
Cataluña: Terres de l'Ebre;2008M04;""
Cataluña: Terres de l'Ebre;2008M03;""
Cataluña: Terres de l'Ebre;2008M02;""
Cataluña: Terres de l'Ebre;2008M01;""
Cataluña: Terres de l'Ebre;2007M12;""
Cataluña: Terres de l'Ebre;2007M11;""
Cataluña: Terres de l'Ebre;2007M10;""
Cataluña: Terres de l'Ebre;2007M09;""
Cataluña: Terres de l'Ebre;2007M08;""
Cataluña: Terres de l'Ebre;2007M07;""
Cataluña: Terres de l'Ebre;2007M06;""
Cataluña: Terres de l'Ebre;2007M05;""
Cataluña: Terres de l'Ebre;2007M04;""
Cataluña: Terres de l'Ebre;2007M03;""
Cataluña: Terres de l'Ebre;2007M02;""
